"2";"Санкт-Петербург";"Saint-Petersburg and Leningrad Oblast, Russia";"30.315868,59.939095"
"4";"Белгород";"Россия";"36.587223,50.59566"
"5";"Ivanovo";"Ivanovo Oblast, Russia";"40.973921,57.000348"
"6";"Калуга";"Россия";"36.252277,54.507014"
"7";"Кострома";"Россия";"40.926858,57.767961"
"8";"Курск";"Россия";"36.192647,51.730361"
"9";"Lipetsk";"Lipetsk Oblast, Russia";"39.594719,52.61022"
"10";"Арол";"Арлоўская вобласць, Расія";"36.069613,52.967187"
"11";"Ryazan";"Ryazan Oblast, Russia";"39.734928,54.629148"
"12";"Smolensk";"Smolensk Oblast, Russia";"32.045134,54.78264"
"13";"Tambov";"Tambov Oblast, Russia";"41.452238,52.721246"
"14";"Цвер";"Цвярская вобласць, Расія";"35.911896,56.859611"
"15";"Tula";"Tula Oblast, Russia";"37.617752,54.193033"
"16";"Yaroslavl";"Yaroslavl Oblast, Russia";"39.893885,57.626549"
"18";"Petrozavodsk";"Republic of Karelia, Russia";"34.359688,61.789036"
"19";"Сиктивкар";"Республіка Комі, Росія";"50.835716,61.668673"
"20";"Архангельск";"Россия";"40.516939,64.539393"
"21";"Vologda";"Vologda Oblast, Russia";"39.891568,59.220492"
"22";"Калининград";"Россия";"20.507307,54.70739"
"23";"Murmansk";"Murmansk Oblast, Russia";"33.074558,68.969582"
"24";"Великий Новгород";"Россия";"31.275475,58.521475"
"25";"Pskov";"Pskov Oblast, Russia";"28.331786,57.819365"
"28";"Махачкала";"Республика Дагестан, Россия";"47.504682,42.98306"
"30";"Нальчик";"Кабардино-Балкарская Республика, Россия";"43.607072,43.485278"
"33";"Уладзікаўказ";"Рэспубліка Паўночная Асетыя — Аланія, Расія";"44.681888,43.020603"
"35";"Краснодар";"Россия";"38.975996,45.040216"
"36";"Stavropol";"Stavropol Krai, Russia";"41.969065,45.044502"
"37";"Астрахань";"Россия";"48.033574,46.347869"
"38";"Волгоград";"Россия";"44.516939,48.707103"
"39";"Rostov-na-Donu";"Rostov Oblast, Russia";"39.718705,47.222531"
"41";"Йошкар-Ола";"Республика Марий Эл, Россия";"47.899878,56.634407"
"42";"Саранск";"Республика Мордовия, Россия";"45.183642,54.187211"
"43";"Казань";"Республика Татарстан, Россия";"49.106324,55.798551"
"44";"Izhevsk";"Udmurt Republic, Russia";"53.211463,56.852775"
"45";"Чебоксары";"Чувашская Республика, Россия";"47.239894,56.138654"
"46";"Киров";"Россия";"49.667978,58.603581"
"47";"Нижний Новгород";"Россия";"44.005986,56.326887"
"48";"Оренбург";"Россия";"55.096955,51.768199"
"49";"Penza";"Penza Oblast, Russia";"45.018325,53.195047"
"50";"Perm";"Perm Krai, Russia";"56.229398,58.010374"
"51";"Самара";"Россия";"50.101819,53.195522"
"53";"Курган";"Россия";"65.344316,55.441606"
"54";"Екатеринбург";"Свердловская область, Россия";"60.605514,56.838607"
"55";"Цюмень";"Цюменская вобласць, Расія";"65.534328,57.153033"
"56";"Челябинск";"Россия";"61.40259,55.160026"
"57";"Khanty-Mansiysk";"Khanty-Mansi Autonomous Okrug — Yugra, Russia";"69.018408,61.002486"
"58";"Салехард";"Ямало-Ненецкий автономный округ, Россия";"66.613851,66.530715"
"62";"Красноярск";"Россия";"92.852545,56.010599"
"63";"Irkutsk";"Irkutsk Oblast, Russia";"104.28066,52.286387"
"64";"Кемерово";"Кемеровская область, Россия";"86.087314,55.354968"
"65";"Новосибирск";"Россия";"82.92043,55.030199"
"66";"Omsk";"Omsk Oblast, Russia";"73.368212,54.989342"
"67";"Tomsk";"Tomsk District, Russia";"84.948197,56.48468"
"68";"Чита";"Забайкальский край, Россия";"113.499432,52.033973"
"74";"Yakutsk";"Sakha (Yakutia) Republic, Russia";"129.732555,62.028098"
"75";"Уладзівасток";"Прыморскі край, Расія";"131.885341,43.115141"
"76";"Хабаровск";"Россия";"135.071917,48.480223"
"77";"Благовещенск";"Амурская область, Россия";"127.527173,50.290658"
"78";"Петропавловск-Камчатский";"Камчатский край, Россия";"158.655918,53.03704"
"79";"Магадан";"Россия";"150.808541,59.568164"
"80";"Yuzhno-Sakhalinsk";"Sakhalin District, Russia";"142.738041,46.959179"
"86";"Атланта";"Штат Джорджия, США";"-84.391106,33.748308"
"87";"Washington";"District of Columbia, United States";"-77.031955,38.890366"
"89";"Detroit";"State of Michigan, United States";"-83.047999,42.33168"
"90";"San Francisco";"State of California, United States";"-122.419631,37.777114"
"91";"Seattle";"State of Washington, United States";"-122.329449,47.60357"
"97";"Гейдэльберг";"Бадэн-Врутэмберг, Германія";"8.708062,49.413484"
"98";"Кёльн";"Северный Рейн-Вестфалия, Германия";"6.955152,50.941666"
"99";"Munich";"Free State of Bavaria, Germany";"11.577532,48.136406"
"100";"Frankfurt am Main";"Hesse, Germany";"8.683403,50.112076"
"101";"Штутгарт";"Баден-Вюртемберг, Германия";"9.171916,48.767668"
"129";"Беер-Шэва";"Паўднёвы АО, Ізраіль";"34.790844,31.236135"
"130";"Иерусалим";"Иерусалимский АО, Израиль";"35.218819,31.780002"
"131";"Тэль-Авіў";"Тэль-Авіўскі АО, Ізраіль";"34.789514,32.085527"
"132";"Haifa";"Haifa District, Israel";"34.989075,32.828375"
"141";"Dnipro";"Dnipropetrovsk Region, Ukraine";"35.046181,48.464717"
"142";"Donetsk";"Donetsk Region, Ukraine";"37.80285,48.015877"
"143";"Киев";"Киевская область, Украина";"30.523541,50.450418"
"144";"Lviv";"Lviv District, Ukraine";"24.029709,49.839678"
"145";"Одесса";"Украина";"30.732597,46.484579"
"146";"Симферополь";"Республика Крым";"34.100156,44.948314"
"147";"Kharkiv";"Kharkiv Region, Ukraine";"36.231202,49.992167"
"148";"Николаев";"Украина";"31.994577,46.975033"
"153";"Брест";"Брестская область, Беларусь";"23.71202,52.08951"
"154";"Vitebsk";"Vitebsk District, Belarus";"30.206337,55.192672"
"155";"Гомель";"Гомельская область, Беларусь";"31.014272,52.42416"
"157";"Minsk";"Minsk District, Belarus";"27.561831,53.902257"
"158";"Mogilev";"Moguilev District, Belarus";"30.331014,53.894617"
"162";"Алматы";"Казахстан";"76.945456,43.238286"
"163";"Астана";"Акмолинская область, Казахстан";"71.430564,51.128422"
"164";"Караганда";"Карагандинская область, Казахстан";"73.085485,49.806406"
"165";"Semey";"East-Kazakhstan District, Kazakhstan";"80.25617,50.416526"
"172";"Уфа";"Республика Башкортостан, Россия";"55.958727,54.735147"
"177";"Берлин";"Германия";"13.376975,52.516067"
"178";"Гамбург";"Германия";"9.992464,53.553336"
"190";"Pavlodar";"Pavlodar District, Kazakhstan";"76.940947,52.285577"
"191";"Брянск";"Россия";"34.363731,53.243325"
"192";"Уладзімір";"Уладзімірская вобласць, Расія";"40.40703,56.129042"
"193";"Voronezh";"Voronezh Oblast, Russia";"39.200287,51.661535"
"194";"Саратов";"Россия";"46.034158,51.533103"
"195";"Ульяновск";"Россия";"48.395622,54.312416"
"197";"Барнаул";"Алтайский край, Россия";"83.779875,53.348053"
"198";"Улан-Удэ";"Республика Бурятия, Россия";"107.584125,51.833507"
"200";"Los Angeles";"State of California, United States";"-118.245313,34.053485"
"202";"Нью-Йорк";"Штат Нью-Йорк, США";"-74.007139,40.714545"
"213";"Москва";"Москва и Московская область, Россия";"37.620393,55.75396"
"214";"Dolgoprudniy";"Moscow and Moscow Oblast, Russia";"37.514401,55.93362"
"215";"Dubna";"Moscow and Moscow Oblast, Russia";"37.173176,56.744002"
"216";"Зеленоград";"Москва и Московская область, Россия";"37.214382,55.991893"
"217";"Pushino";"Moscow and Moscow Oblast, Russia";"37.620977,54.832479"
"219";"Черноголовка";"Москва и Московская область, Россия";"38.379245,56.010005"
"221";"Шымкент";"Южно-Казахстанская область, Казахстан";"69.589709,42.317301"
"222";"Luhansk";"Luhansk Region, Ukraine";"39.307708,48.573837"
"223";"Boston";"Commonwealth of Massachusetts, United States";"-71.056739,42.358655"
"235";"Магнитогорск";"Челябинская область, Россия";"58.97924,53.407233"
